Название вакансии,URL,Название комании,Описание
Ведущий разработчик Python на платежную платформу,https://sergievposad.hh.ru/vacancy/31705453?query=python,ИП Новикова Ольга Станиславовна,"Принятие на поддержку существующего финтех проекта, дальнейшее его развитие (интеграции, доп.функционал и тд).Опыт разработки и поддержки крупных коммерческих проектов, реализованных на Python (Django) от 3х лет. Знание тонких мест реализации фреймворка..."
Python Developer,https://sergievposad.hh.ru/vacancy/31647306?query=python,ООО Хантфлоу,"Уровень сложности повышает и большое число внешних интеграций: с джоб-сайтами, соцсетями, СМС-операторами, телефонией, почтой, календарями и многим другим. Разработчика с опытом в асинхронном программировании от 2 лет, который работал с микросервисами, ORM (pewee), проектировал HTTP REST API."
Разработчик Python,https://sergievposad.hh.ru/vacancy/31605016?query=python, ГК «ХайТэк»,Разработка и тестирование модулей Python для поддержки запуска нейронных сетей на тензорном процессоре. Участие в тестировании разработанных модулей микропроцессора. Опыт промышленной разработки на Python. Мы используем Python 3. Знание и умение применять на практике системы тестирования кода. 
"Senior python developer в Трипстер (Python, Django, Celery, Redis, Elasticsearch)",https://sergievposad.hh.ru/vacancy/31484508?query=python, Трипстер,"Что используем. Redis для сбора статистики. Nginx + uwsgi. Sentry для сбора ошибок. New Relic для мониторинга.Отличные знания Python, Django, MySQL (транзакции и оптимизация запросов), опыт работы с Elasticsearch. Базовый опыт работы с Javascript, чем-нибудь..."
"Full-Stack разработчик (Python, React)",https://sergievposad.hh.ru/vacancy/31715099?query=python," Mail.Ru Group, Другое",Разработка новых и развитие существующих внутренних инструментов и корпоративных сервисов. Автоматизация процессов от разработки до кадровых. Активное участие в проектировании...Опыт работы с React.js. Опыт работы с Djangо.
Python-разработчик,https://sergievposad.hh.ru/vacancy/31748373?query=python, Uchi.ru,"Разработка микросервисов для работы алгоритмов машинного обучения в продакшене. - Создание инфраструктуры для процессинга данных. - Метрики/мониторинг - prometheus, grafana.Что мы хотим видеть в сотруднике: Уверенное владение: - Python3. - SQL (предпочтительно Postgres). - Web-фреймворк (Django - предпочтительно, Flask). - "
"Ведущий специалист / data scientist (big data, прогностическая аналитика, data mining)",https://sergievposad.hh.ru/vacancy/29632581?query=python,ЗАО Прогностические решения,Участие в проектах по созданию и внедрению аналитических систем и решений. Основные этапы проектов:Желательны навыки владения программным обеспечением IBM SPSS Modeler или аналогичным программным обеспечением обязательно. Желательны навыки владения Python и / или R.
Программист Python (Middle),https://sergievposad.hh.ru/vacancy/31668314?query=python,ООО Контент лайн,"Разработка, code review и рефакторинг систем. Участие в проектировании систем. Сопровождение и документирование проектов.Уверенное знание Python 2 и 3. Уверенное знание Django 1.8+ и популярных пакетов для него. Знание SQL и..."
Python-разработчик,https://sergievposad.hh.ru/vacancy/31508224?query=python,ООО КГК,Разработка архитектуры новых приложений. Разработка GUI приложения на Python для внутреннего использования. Управление задач и документирование осуществляется в JIRA и...Знание Go. Опыт работы с Tornado.
Билд-инженер/Программист Python (Continuous Integration),https://sergievposad.hh.ru/vacancy/30937786?query=python, Gaijin Entertainment,"оптимизация сборки. - выполнение сборки общих библиотек. - разработка программных модулей для автоматизации/оптимизации процессов сборки и анализа качества ПО. - отличное знание языка Python, знание и навыки работы с GIT. - хорошее понимание процессов разработки ПО. - знание Windows и Linux. - "
Разработчик Python,https://sergievposad.hh.ru/vacancy/31679881?query=python, Робокасса,"Разработка приложений. Умение профилировать и оптимизировать свой код. Написание unit-тестов с применением PyTest. Поддержка и рефакторинг проектов.Опыт работы с Python, JavaScript/React от 2 лет. Опыт работы с одним из следующих фреймворков: Flask, Django, Sanic, Pyramid. "
Python developer/ backend разработчик,https://sergievposad.hh.ru/vacancy/31895113?query=python, АЛИБРА,"Быть в плотной коммуникации с project менеджером, разработчиками и другими членами команды. Участвовать в daily-митингах. Копаться в чужом коде. Хорошие знания SQL (Postgre SQL/MySQL). Знание и умение применять последние версии python. Использование git и знание gitflow. "
"Full-stack разработчик (Python, JavaScript)",https://sergievposad.hh.ru/vacancy/31557124?query=python, Tevian (ООО Технологии видеоанализа),"Разработка сервисов компьютерного зрения, поддержка и развитие функционала существующих web систем и сервисов. Разработка систем web разметки изображений от backend...Уверенное знание Python 3. Работа в среде Linux. Базовое знание Bash. Знание Flask, SQLAlchemy для разработки backend. Знание JS, JQuery..."
Разработчик Python (Middle),https://sergievposad.hh.ru/vacancy/31859124?query=python, МФТИ ГУ,"разработка, рефакторинг и документирование компонентов ядра библиотеки с открытым кодом DeepPavlov. - работа с исследователями по добавлению новых и рефакторингу существующих...хорошее знание Python 3 и стандартной библиотеки. - базовые знания алгоритмов и структур данных. - умение профилировать и оптимизировать свой код. - "
Программист Javascript (React) + Python,https://sergievposad.hh.ru/vacancy/31568270?query=python,ИП Надеждина Татьяна Николаевна,"Расширение функционала системы автоматизации бизнеса. Frontend: React + Redux. - Поддержка существующего функционала системы и разработка нового. - Code review. - Backend: Python + Flask. - Уверенное владение указанными выше технологиями. - Навыки вёрстки, jQuery + CSS. - Стремление к простым и понятным решениям. - "
Senior Web разработчик (Python),https://sergievposad.hh.ru/vacancy/31394511?query=python,ООО НТ Прогресс,"Проектирование и разработка Web портала в agile команде. Участие в полном цикле разработки - аналитика, программирование, тестирование.Отличные знания Web технологий: HTML5, CSS/SASS, JavaScript, ReactJS. Хорошие знания Python и опыт работы с Django. "
Python-разработчик (full stack),https://sergievposad.hh.ru/vacancy/31323484?query=python, Akvelon,Глубокое знание языка Python и в контексте бэкенд-разработки. Опыт фронтенд разработки на React. Знание английского языка на уровне upper...
Junior разработчик Python,https://sergievposad.hh.ru/vacancy/30814432?query=python, КРОК,"Участие в разработке новых проектов (frontend + backend) в команде. Разработка бизнес-логики, клиентского кода, отчётов. Проектирование баз данных.Знания в области веб-разработки и верстки (HTML5, CSS3, JS, jQuery). Знание Python и Django. Умение разбираться в..."
Методист по Python,https://sergievposad.hh.ru/vacancy/31424351?query=python, Алгоритмика,адаптация и доработка методических материалов для преподавателей и учеников под стандарты школ в Азербайджане. - помощь в обучении новых преподавателей. - Успешный кандидат должен иметь: - Знания информационных технологий и особенностей преподавания Информатики в средней школе. - Опыт ведения групповых занятий для детей...
Python Junior Developer,https://sergievposad.hh.ru/vacancy/31550915?query=python, НЕОЛАНТ,"Написание новых, дополнение и изменение существующих API на Python (90% задач). Изменение и дополнение существующих драйверов на С++/C# для...Знание Python / С++ / C#. Умение работать с шинами i2c и spi. Знание Ubuntu. Понимание ШИМ. Наличие аккаунта на..."
Разработчик Python (back-end),https://sergievposad.hh.ru/vacancy/30666848?query=python, Леруа Мерлен. Гипермаркеты,"Back-end разработка сервисов компании. Проектирование и реализация API разрабатываемых систем (интернет-магазин, B2B портал, мобильные приложения). Промышленной разработки. Знание ORM (SQLAlchemy), CI/CD, Docker, PostgreSQL. Уверенная работа с GIT/GitFlow. Умение разбираться в чужом коде. "
Веб-разработчик (Python/Django),https://sergievposad.hh.ru/vacancy/31646032?query=python,ООО АлгоМост,"Разработка нового функционала в существующих сервисах. Доработка существующего кода. Рефакторинг кода. Разработка новых сервисов.Хорошие знания Python 3. Опыт разработки проектов с использованием Django. Понимание объектно-ориентированного программирования. Знание SQL, опыт работы с одной..."
DevOps (Python/Cloud),https://sergievposad.hh.ru/vacancy/31413027?query=python, IVIDEON,"Создать с нуля систему для автоматического развертывания окружения для разработки и тестирования. Создать с нуля систему CI (с запуском тестов...Опыт построения CI/CD. Опыт работы с инструментами сборки и развертывания. Опыт работы с экосистемой Docker (Swarm, Kubernetes). Знание Python."
Python разработчик ( Backend Software Engineer),https://sergievposad.hh.ru/vacancy/31671367?query=python,ООО PERX,Разработка новых проектов и поддержка существующих проектов компании: Облачная контентная система – кольцо дилерских сайтов. Платформа для автопроизводителей по учету автомобилей...Хорошее знание команд Linux. Опыт работы на Python от 2-х лет. Хорошее знание базовых библиотек. Опыт работы с одним...
Senior Data Scientist,https://sergievposad.hh.ru/vacancy/31557079?query=python,ООО БОСТОНДЖИН,"Анализировать новые источники данных и разрабатывать методические приемы работы с ними. Программировать на Python. Анализировать качество и результаты работы написанного...Участие в соревнованиях на Kaggle. Знакомство с популярными Python web-фреймворками и библиотеками (Django, Flask, Pyromid, Luigi). Знакомство с Docker. "
Data Scientist,https://sergievposad.hh.ru/vacancy/31868628?query=python, MNFST,"Оценка популярности аккаунта в соцсети и стоимости постинга в аккаунте в рекламном контексте. Антифрод: анализ аномалий в поведении юзера, верификация...Хорошая математическая подготовка в теорвере и матстате. Знание python + numpy, sklearn, pandas, keras, tensorflow, matplotlib, xgboost итп. "
Разработчик Python,https://sergievposad.hh.ru/vacancy/31580468?query=python, Кафедра радиоэлектроники и прикладной информатики МФТИ,"Интеграция нейросетевых моделей в системы обработки изображений и видео.Опыт разработки на Python от 2 лет. Умение отлаживать и дорабатывать чужой код. Аккуратность, внимание к деталям."
Data Scientist (ML),https://sergievposad.hh.ru/vacancy/31855467?query=python, NEOLAB,"Разработка ML моделей. Подготовка и предварительная обработка данных. Работа в команде с другими DS и совершенствование существующих ML моделей. Python. Хорошее знание библиотек для анализа данных (pandas, numpy, scipy, …) и библиотек для ML (xgboost, catboost, lightgbm, keras, tensorflow, …). "
Data Scientist,https://sergievposad.hh.ru/vacancy/31885819?query=python, SINGAPORE PROJECT (ООО Сансет),"Искать, собирать, структурировать данные. Разрабатывать алгоритмы анализа неструктурированных данных. Совершенствовать текущие алгоритмы и разрабатывать новые, поддерживая высокие стандарты качества обработки...статистики, методов прогнозирования и т.п.). Опытного пользователя Python (Pandas, обработка данных). Сотрудника с уверенным владением английским языком (для чтения..."
Аналитик (Data Analyst) Python/SQL,https://sergievposad.hh.ru/vacancy/31803688?query=python,ООО ЗОЖ,"Работа с большими объемами структурированных и неструктурированных данных. Подготовка данных, выявление закономерностей на признаках, feature engineering. Построение, оценка и внедрение...Хорошее знание математической статистики. Знание python (pandas, numpy, matplotlib). Знание SQL, умение писать и отлаживать сложные запросы. Базовое знание Linux. "
Senior Data scientist,https://sergievposad.hh.ru/vacancy/31498722?query=python,ООО МФК Займ Онлайн,"Разработка правил и стратегий, направленных на снижение уровня невозвратов по кредитным продуктам. Разработка, обновление и мониторинг качества скоринговых моделей. Владением одним из статистических пакетов (R, SAS, MATLAB, Rapid, Miner). Программирование на Python. Знание основ теории вероятности, математической статистики, методов..."
Data Scientist,https://sergievposad.hh.ru/vacancy/31752247?query=python,ООО Авентика,"Формировать запросы в мониторинговых системах. Чистить и заниматься первичной обработкой текстовых массивов. Анализировать данные. Подготавливать аналитические материалы и презентации. Уверенные знания мат.статистики. Владение: python, nlp, network analysis, machine learning. Опыт от 1 года. Знаком(-а) с network analysis. "
Web-разработчик (Python),https://sergievposad.hh.ru/vacancy/31751765?query=python,ООО ТиВиЗавр,"Разработка и программирование WEB-приложений на Python. Участие в определении направления развития архитектуры приложений HighLoad и выборе технологий для их...Знание HTML, XSL, css, JavaScript, JQuery, AJAX. Отличное знание Python и фреймворков (Django Flask). Желательно знание Erlang. Знание ОС Linux..."
Data Scientist,https://sergievposad.hh.ru/vacancy/31353774?query=python, Crazy Panda,"Обработкой, очисткой и подготовкой данных. Построением моделей и доведение их до продакшн стадии. Взаимодействием с аналитиками и разработкой решений для...Углубленные знания математической статистики, теории вероятностей, линейной алгебры. Python на продвинутом уровне, в том числе для анализа данных (pandas, scipy..."
"Начинающий программист-математик ( C#, python, машинное обучение, компьютерное зрение)",https://sergievposad.hh.ru/vacancy/31852462?query=python,ООО Солнечный ветер,"Встраивание результатов своей работы в ""боевые"" системы, включая конвертацию сетей в TensorRT, написание небольших фрагметов кода на Python/C#, т...Знание Windows и Linux на уровне продвинутого пользователя. Умение программировать на python (numpy, scipy, sklearn, jupyter, т.п.). "
Frontend developer (junior/middle),https://sergievposad.hh.ru/vacancy/29663805?query=python,ООО Авгуро Технолоджис,"Приветствуется опыт работы с SASS, jQuery, Vue.js, Node.js, Webpack или готовность изучить их. Базовые знания SQL, Python, Django. "
Разработчик Python (Middle),https://sergievposad.hh.ru/vacancy/30613214?query=python, Телепорт - финансовый лидогенератор,"Участвовать в разработке сервисов компании с использованием технологий: Django, asyncio, aiohttp. Примеры сервисов: асинхронный rest API, сервис push уведомлений, сервис...Опыт веб-разработки на Python от 2-х лет. Глубокое знание одного или нескольких фреймворков: Django, Flask, Tornado, aiohttp. "
Python developer,https://sergievposad.hh.ru/vacancy/31348371?query=python," AROUND, Группа компаний","Проектирование микросервисной архитектуры и доработка существующей. Создание аналитических сервисов, сервисов видеозахвата и REST API. Интеграция сервисов распознавания и детекции лиц...Хорошее знание Python 3. Опыт работы с фреймворками aiohttp или Flask вместе с SQLALchemy. Опыт разработки бэкенда от 1 года. "
Аналитик данных / Data Scientist,https://sergievposad.hh.ru/vacancy/31887942?query=python,ООО РАБЛЗ,"Написание красивого и переиспользуемого Python-кода для анализа больших объёмов данных. - Формулировка и формализация задач совместно с бизнес-заказчиками из...Владение Python, опыт использования его для анализа данных. - Знание SQL. - Понимание основных принципов машинного обучения и теории вероятностей, умение применять..."
C++ developer (embedded Linux),https://sergievposad.hh.ru/vacancy/31628734?query=python, IVIDEON,"Разрабатываем продукты на базе мобильных ОС. Встраивать поддержку сервиса Ivideon в прошивки оборудования видеонаблюдения (IP камеры, DVR и т. Интегрируемся с различными одноплатными компьютерами от Raspberry Pi до специализированного железа оут Paxton и многое другое. Хорошее знание C++, опыт..."
Аналитик данных (Data Analyst),https://sergievposad.hh.ru/vacancy/31641119?query=python,ООО АппФоллоу,"...других источников на Python. Распределения и хранения через SQL, big query, segment. Обработки и вывода: скрипты на Python и SQL...1) техническое образование или опыт работы аналитиком / разработчиком. 2) знакомство с Python / SQL или готовность их быстро освоить. "
