Название вакансии,URL,Название комании,Описание
"Преподаватель компьютерных/IT курсов, программирования, информатики, робототехники",https://sergievposad.hh.ru/vacancy/30137791?query=python, ЧУ ДО Школа программистов,"Web-дизайн, CMS, PHP, JavaScript. Робототехника и микроконтроллеры. Системное администрирование. Компьютерные сети. Компьютерная графика, видеомонтаж и др. Что Вы будете...Вы обладаете опытом публичных выступлений. Получили или скоро получите техническое или педагогическое высшее образование. И/или направлений IT-технологий: Компьютерное..."
Реверс-инжиниринг встраиваемого ПО (начинающий специалист),https://sergievposad.hh.ru/vacancy/31431877?query=python,"ЗАО Станкоинформзащита, НТЦ",Выполнение работ по реверс-инжинирингу встраиваемого ПО (embedded) и поиск в нем уязвимостей. Знакомство со средствами отладки и статического анализа...Понимание природы уязвимостей программного обеспечения. Начальное знание языков Си и (или) Python. Знакомство с набором команд любой микропроцессорной архитектуры. 
Financial Data Scientist,https://sergievposad.hh.ru/vacancy/29958061?query=python, WorldQuant,"Rare opportunity to learn from experienced financial data scientists. Competitive financial rewards, based on performance and position. Job Responsibilities (including...Friendly and collegial working environment. Solid programming skills (C++ and/or Python). Degree from a top university in a highly..."
Инженер по тестированию качества видео,https://sergievposad.hh.ru/vacancy/29934029?query=python,ООО Ростелеком Информационные Технологии,"Функциональное тестирование разрабатываемых компанией продуктов в сфере интерактивного ТВ. Разработка и поддержка тестовой документации (проектирование и написание тест-кейсов, чек...Опыт работы с Linux и знание bash, знание скриптовых языков (например, python). Умение анализировать требования и составлять необходимые сценарии тестирования..."
Инженер по внедрению IDM,https://sergievposad.hh.ru/vacancy/30914479?query=python, RedSys,"Участие в составе проектной команды на этапах анализа требований заказчика, проектировании, внедрении IAM системы, адаптация системы под требования Заказчика (интерфейс...Навыки разработки скриптов с использованием различных средств автоматизации: PowerShell, Python. Умение находить быстрое оптимальное решение нестандартных задач, опыт написания документации..."
Младший аналитик-исследователь,https://sergievposad.hh.ru/vacancy/30307119?query=python, РБК,"Мониторинг и анализ бизнес показателей проектов холдинга. Подготовка разовых и регулярных отчетов / презентаций. Изучение поведения пользователей интернет-проектов холдинга. анализа. Навыки визуализации данных. Опыт работы с Google Analytics и Яндекс Метрикой, SQL, Python (Pandas), макросами VBA (как преимущество)."
Системный администратор группы мониторинга (Linux),https://sergievposad.hh.ru/vacancy/31410095?query=python,ООО Такском,"Добавление новых серверов на мониторинг. Создание шаблонов и сценариев мониторинга, включая написание скриптов сбора данных. Автоматизация задач (архивирование логов, создание...Навыки работы с базами данных (PostgreSQL, MongoDB, MSSQL) минимум 1 база. Навыки работы со скриптовыми языками (Bash или Python)."
Team lead Java / Руководитель Java-разработки,https://sergievposad.hh.ru/vacancy/31652323?query=python,ООО Обоз,Управление командой 4-6 человек. Постановка и отладка процесса разработки. Организация эксплуатации online сервиса с высокой степенью доступности. Высшее техническое образование. Опыт создания высоконагруженных и масштабируемых online систем. Знание и умение применять различные архитектурные паттерны для online-систем. 
QA-инженер/Инженер по тестированию,https://sergievposad.hh.ru/vacancy/31805802?query=python,ООО КрестВэйв технолоджис,"Подготовка плана тестирования, разработка тестовых сценариев в соответствии с требованиями. Разработка и сопровождение документации для тестирования. Выполнение UX тестирования, проведение...Знания языков программирования python, возможно go. Знание принципов нагрузочного тестирования и соответствующих инструментов: JMeter и подобных. Знание инструментов автоматического тестирования..."
Инженер компьютерное зрение (computer vision engineer),https://sergievposad.hh.ru/vacancy/31517761?query=python,ООО Смарт Ритейл,"Адаптация state-of-the-art алгоритмов в области обработки изображений / deep learning, разработка новых алгоритмов. Представление и оценка практических результатов. Хорошая общая математическая подготовка (статистика, линейная алгебра). Опыт программирования под Linux. Языки программирования: Python. Знание подходов в обработке изображений, программных..."
Junior IT specialist,https://sergievposad.hh.ru/vacancy/31511812?query=python, Renaissance Capital,"Actively learn & participate in day-to-day activities of the Team! Wide range of interesting tasks in different areas, possibility...Knowledge of scripting skills - Linux / Python / Bash + Python or data processing scripts are highly valued. WILL BE GREAT IF..."
MS SQL-разработчик,https://sergievposad.hh.ru/vacancy/31385921?query=python,ООО МФК Займ Онлайн,"Выгрузка данных из БД и других источников. Написание SQL запросов для построения регулярных отчетов. Написание хранимых процедур и функций для...Как весомое преимущество знание скриптового языка (Powershell, Python, sh и т.п.). Знание теории реляционных БД. Навыки написания сложных запросов..."
Team lead / Главный разработчик хранилищ данных и BI-систем,https://sergievposad.hh.ru/vacancy/31901441?query=python, Polymedia,"Развитие компонентов аналитического решения на основе хранилища данных и BI-платформы (подсистемы загрузки данных, управления данными, контроля качества данных, визуализации...Знание одного из языков программирования высокого уровня (C++, Java, C#, Python). Опыт управления командой разработки. Опыт участия в крупных проектах..."
Инженер по тестированию,https://sergievposad.hh.ru/vacancy/29946182?query=python,ООО ОсноваЛаб,"Участвовать в проектах по созданию, обновлению и дальнейшему сопровождению сервисов в роли старшего тестировщика. Планировать и проводить тестирование сервисов с...Опыт функционального и стресс тестирования распределенных решений. Знание основ ООП и базовых библиотек Python. Знание сотовых технологий и VoIP. "
DevOps specialist,https://sergievposad.hh.ru/vacancy/31428880?query=python, VR Concept,"Поддержка процесса CI/CD. Участие в разработке системы автоматизации процессов CI\CD. Поддержка инфраструктуры проекта в рабочем состоянии. Понимание процессов тестирования и разработки. Знания основ тестирования ПО. Знание Python 2.7, Python 3.5+. Навыки работы с..."
Ведущий специалист по тестированию производительности,https://sergievposad.hh.ru/vacancy/30765472?query=python,"ПАО «МТС»,IT","Команда QA МТС обеспечивает качество продуктов собственной разработки, которые решают операционные и бизнес-задачи в телекоммуникационном секторе. Разработка единой платформы...Знание видов нагрузочного тестирования, понимание их применяемости. Умение программировать на одном из языков Python, .NET (C#), Java. Знание одного из..."
"Стажёр(Анализ данных,data science)",https://sergievposad.hh.ru/vacancy/31306695?query=python,ООО САС Институт,"Быть студентом 3-5 курса бакалавриата/специалитета, магистратуры либо недавним выпускником технической специальности. Знать хотя бы один язык программирования, разбираться..."
Ведущий инженер-программист,https://sergievposad.hh.ru/vacancy/30610923?query=python, Металлинвестбанк,"Поддерживать и дорабатывать существующее ПО. Вести разработку ПО согласно полученным заданиям. Проводить самостоятельное тестирование выполненных задач, до передачи на тестирование...опыт работы в команде. - стрессоустойчивость. Желательно: - языки программирования: Delphi, Python, Java, C#. - опыт работы с нейронными сетями. - опыт работы с..."
Senior QA Automation Engineer,https://sergievposad.hh.ru/vacancy/31000307?query=python,ООО Смарт Ритейл,"Проработка подходов к автоматизации тестирования всех компонент системы с выбором инструментария автоматизации. Разработка автоматизированного тестирования с нуля, поддержка в актуальном...Уверенное владение любым из языков программирования: Java, Python или C#. Умение писать SQL на уровне запросов, понимание процедур. "
Руководитель группы тестирования,https://sergievposad.hh.ru/vacancy/30638471?query=python,"ПАО «МТС»,IT","Команда QA МТС обеспечивает качество продуктов собственной разработки, которые решают операционные и бизнес-задачи в телекоммуникационном секторе. Управление командой системного...Стек технологий: СУБД: Oracle, MySQL, PostgreSQL. Разметка: HTML, CSS, JSON. Протоколы: SOAP, HTTP, TCP/IP. ОС: LINUX, Windows. "
Стажер в Департамент розничных рисков (Управление риск-технологий),https://sergievposad.hh.ru/vacancy/29657869?query=python," «РОСБАНК, Societe Generale Group», с опытом работы","Работа в команде риск-технологов Банка. Настраивание логики автоматического принятия решения по кредиту на SAS и SQL. Настраивание логики обработки...Опыт не обязателен, но приветствуется: - Знание одного или нескольких объектных языков программирования (Python, C++, Java и т.д.). - "
Инженер компьютерное зрение (computer vision engeneer),https://sergievposad.hh.ru/vacancy/29881484?query=python,ООО Смарт Ритейл,"...learning, разработка новых алгоритмов (классификация, детектирование, сегментация и др.). Разработка модулей на Python. Представление и оценка практических результатов. Оптимизация алгоритмов.Хорошая общая математическая подготовка (статистика, линейная алгебра). Опыт программирования под Linux. Языки программирования: Python. Знание подходов в обработке изображений, программных..."
PHP-программист,https://sergievposad.hh.ru/vacancy/31486550?query=python,ООО Флекскор,"Написание новых программных модулей. Поддержка текущего функционала.Отличные знания Javascript, PHP5.6+, MySQL, ООП. Опыт работы с git. Знание Python и Unix систем как преимущество. "
Senior-разработчик (команда ядра),https://sergievposad.hh.ru/vacancy/31334322?query=python,ООО Регистратор доменных имен РЕГ.РУ,"Проектировать и реализовывать новые механизмы в тесном контакте с командой архитекторов. Дорабатывать, рефакторить или переписывать существующие механизмы в соответствии с...Отлично пишешь код (желательно на одном из двух наших основных языков — Perl или Python). Понимаешь реляционную теорию и умеешь работать..."
Младший аналитик (игры),https://sergievposad.hh.ru/vacancy/31415793?query=python, Crazy Panda,"Искать возможности по улучшению и оптимизации текущего функционала. Вести АБ-тесты, от формирования гипотезы до проверки результатов. Придумывать и прорабатывать...Оконченное высшее образование. Знание основ программирования на Python. Высшее техническое\математическое образование. Понимание методов машинного обучения. Знание различных вариантов монетизации..."
Аналитик данных в маркетинге,https://sergievposad.hh.ru/vacancy/31259753?query=python, Авито,"Анализировать эффективность маркетинга: изобретать модель атрибуции, проводить эксперименты, строить прогнозы метрик. Оценивать и улучшать качество привлекаемого трафика: искать lead-метрики...Имели опыт работы с BI инструментами, особенно с Tableau. Имеете опыт анализа данных с помощью Python (pandas/numpy/scipy/sklearn)."
Стажер (Индустрия 4.0),https://sergievposad.hh.ru/vacancy/29584626?query=python, Сибур,"Наблюдение, изучение, обсуждение и анализ требований конечных пользователей продукта/процесса. Участие в обсуждении текущей бизнес-проблематики и постановка задач с...Навыки программирования. Знание и понимание архитектуры систем, Python является преимуществом. Знание английского языка на уровне Intermediate и выше. "
Стажер в департамент комплексной оценки рисков,https://sergievposad.hh.ru/vacancy/31683483?query=python," «РОСБАНК, Societe Generale Group», с опытом работы","Участие в аналитических проектах и исследованиях. Участие в подготовке отчетности и написании нормативных документов. Подготовка презентаций и перевод внутренних документов.Неполное высшее образование. Знание языков программирования (SQL, R, Python, VBA) будет являться преимущестовом. Подготовка к сертификатам или их наличие будет..."
Исследователь программного обеспечения,https://sergievposad.hh.ru/vacancy/23205138?query=python,АО Информтехника,"Проведение работ по анализу программного обеспечения телекоммуникационного оборудования (в рамках работ по его сертификации). Выявление дефектов/ошибок в реализации, недокументированных...Базовые знания языков программирования (C++, Assembler, Perl, Python, Java). Знание принципов работы операционных систем. Знание принципов разработки и тестирования ПО."
Ведущий devops / системный инженер,https://sergievposad.hh.ru/vacancy/31505476?query=python, ASD Technologies,"Веб-сервисы: Ngnix и использование его как reverse прокси к нескольким бэкендам, настройка https/loadbalncing. Серверы приложений: UWSGI. Bash скриптинг(сборочные скрипты на bash), плюсом будет умение писать скрипты на powershell/bat, python. Умение настраивать iptables, плюсом работа..."
Head of Analitical Department (including Product development),https://sergievposad.hh.ru/vacancy/31131927?query=python, Страховая Компания Allianz,"Operational control and management of the subordinate division. Product development. Development and introduction of innovations, special offers in VMI and...Knowledge of machine learning algorithms, ability to use them in handling practical tasks. Good knowledge of Python, Excel, R, VBA..."
Системный архитектор (Teamlead),https://sergievposad.hh.ru/vacancy/31239542?query=python,ООО Комлоджик,"Проведение предпроектного обследования и технической экспертизы. Архитектурная проработка бизнес-требований, технических и нефункциональных требований. Разработка оптимальной архитектуры решения, выявление технических...JS, .Net(C#) или Java или GoLang или Python. Опыт в разработке web приложений. Знание SQL и опыт проектирование баз..."
Начальник отдела математического моделирования,https://sergievposad.hh.ru/vacancy/31918618?query=python, Банк Открытие,"Построение моделей количественной оценки кредитного риска (скоринг, машинное обучение, эконометрика, иные математические методы). Участие в проекте внедрение Big data, использование...Отличное знание SQL и баз данных, SAS. Навыки R или Python. Владение принципами построения алгоритмов Machine Learning, Data Mining будет..."
Аналитик / Программист (направление телефонных исследований),https://sergievposad.hh.ru/vacancy/31216685?query=python, Ipsos Comcon,"программирование телефонных опросов CATI. - чистка, заливка телефонных баз. - вывод статистик по звонкам. - автоматизация процессов.высшее техническое образование. - хорошие навыки программирования на языке Python. - опыт написания запросов SQL. - приветствуется опыт работы в маркетинговых исследованиях/понимание..."
Младший аналитик,https://sergievposad.hh.ru/vacancy/31427895?query=python,ООО Retail Rocket,"Поддерживать системы рекомендаций Retail Rocket на распределенном кластере. Проводить исследования с использованием данных очень больших объемов на кластере. Знаешь простые алгоритмы машинного обучения. Знаешь SQL. Опыт разработки на любом компилируемом языке программирования (например, С++, Java, Scala, Go, Rust..."
Web-аналитик,https://sergievposad.hh.ru/vacancy/30145577?query=python, KUPIVIP.RU,"Настройка и управление системами веб-аналитики. Работа с системами мобайл-аналитики. Сбор и обработка статистики. Проведение A/B тестов. Знание одного из языков программирование, хотя бы начального уровня - JS/Python/PHP. Знание SQL - на уровне простых запросов. "
"Главный системный аналитик (корпоративное хранилище данных, BigData)",https://sergievposad.hh.ru/vacancy/31906762?query=python," «РОСБАНК, Societe Generale Group», с опытом работы","Анализ, оценка, согласование проектных документов и заявок на реализацию функциональности в КХД. Разработка и технических спецификаций ИТ-решений по направлению. Высшее образование (информационные технологии). Понимание принципов построения Хранилища данных. Опыт работы системным аналитиком от 3 лет. Уверенное знание SQL. "
Старший инженер-тестировщик (автоматизированное функциональное тестирование),https://sergievposad.hh.ru/vacancy/27364976?query=python, Аплана Софтвер,Запуск автоматизированного функционального тестирования на Java. Разработка и актуализация автоматизированных тестов для толстых и тонких клиентов. Контроль работ по афт...Опыт работы в роли разработчика автотестов более 1 года (Java или С#). Опыт разработки фреймворка для автоматизированного тестирования. 
Бизнес-аналитик,https://sergievposad.hh.ru/vacancy/31917396?query=python, Selecty,"Участие в проектах по автоматизации бизнес-процессов, разработка и адаптация систем под требования многочисленных мобильных и web-проектов компании. Опыт работы в аналогичной должности не менее 2-х лет. Умение формализовывать требования. Умение визуализировать процессы с помощью известных нотаций..."
Системный аналитик (Облако Данных),https://sergievposad.hh.ru/vacancy/31798088?query=python, Сбербанк для экспертов,"Разработка кода витрин с использованием SQL, Hive. Участие в разработке моделей оценки рисков с использованием Python и SAS. Будет плюсом: Знание Hive, Spark, Jenkins, Python, SAS. Базовые знания архитектуры Hadoop. Опыт работы в Agile. Опыт оптимизации SQL-запросов. "
Специалист отдела Методологии / аналитик,https://sergievposad.hh.ru/vacancy/24312953?query=python, GfK Rus,"Обработка данных для формирования еженедельных и ежемесячных отчетов клиентам и ритейлерам с использованием внутреннего ПО компании. Проверка качества выпускаемых отчетов...Умение работать с VBA, продвинутый уровень Excel, R/Python. Опыт по написанию скриптов для автоматизированного сбора информации с интернет страниц..."
Системный администратор,https://sergievposad.hh.ru/vacancy/31913519?query=python, Группа компаний «Клас»,"установка и настройка программного обеспечения. Отслеживание наличия обновлений и своевременное их установка. Контроль работоспособности системы после их установки. - ...с системами мониторинга. - Опыт автоматизации задач. - Администрирование и поддержка серверов и сетевого оборудования. - Плюсом будет знание скриптовых языков (Python, PowerShell)."
Антифрод аналитик,https://sergievposad.hh.ru/vacancy/30462331?query=python, Group-IB,"Аналитика, реагирование на инциденты, формирование отчетности. Разработка антифрод методик, настройка антифрод правил, контроль их эффективности. Формирование технических требований для проведения...Большим плюсом будет знание SQL, regexp, знание и опыт использования аналитических инструментов: jupyther, R, python и др.. Опыт консультирования заказчиков..."
Архитектор / Руководитель группы веб-разработки,https://sergievposad.hh.ru/vacancy/31476973?query=python, Объединённая компания РУСАЛ,"Заказная веб-разработка (основные проекты): ASP.NET MVC, EF, KendoUI, Bootrstrap, OData, OAuth, SwaggerUI, ElasticSearch. Порталы совместной работы: MS SharePoint в...Знание веб-технологий для стеков LAMP, Java. Знание DB Oracle, PostgreeSQL, Python, разработка под Android. Навыки системного администрирования серверной и..."
Реверс-инженер,https://sergievposad.hh.ru/vacancy/31431886?query=python,"ЗАО Станкоинформзащита, НТЦ","Обратная разработка различного ПО, поиск уязвимостей.Опыт поиска и/или эксплуатации уязвимостей кода. Хорошее знание Python (умение писать читаемый код). Знание Си и C++ на уровне..."
Group / Category Product Manager (Big Data продукты для маркетинга),https://sergievposad.hh.ru/vacancy/29875067?query=python, Double Data,"Курирование работы по созданию новой линейки продуктов компании. Реализация продукта со стадии расплывчатой идеи до четко спланированной реализации, масштабирования и...Навыки работы в Tableau и прочих BI-инструментах. Опыт работы с Jira, Confluence. Свободный английский. Знание SQL, Python."
Специалист по нагрузочному тестированию,https://sergievposad.hh.ru/vacancy/31559445?query=python, Философия.ИТ,"Разработка скриптов НТ. Разработка заглушек средней сложности. Запуски тестов, сбор и анализ результатов. Регистрация дефектов, проведение ретеста. Разработка сценариев нагрузочного...Опыт написания скрипов на одном из языков (Python, TCL, Bash, Perl, Ruby). Опыт работы (понимание сути и проблематики возникновения систем..."
Аналитик,https://sergievposad.hh.ru/vacancy/31743940?query=python,АО ОФИС ПРЕМЬЕР,"Организация и проведение количественных и качественных исследований рынка (регионы, каналы, сегменты...). Сбор, анализ, систематизация информации по конкурентному окружению. Уверенный пользователь 1С, MS office; работа с CRM. Знание SQL и Python - как плюс. Высокий уровень самоорганизации, внимательность, ответственность..."
Специалист по автоматизированному тестированию,https://sergievposad.hh.ru/vacancy/31753712?query=python, Группа компаний SRG,"Написание тестовых сценариев (test case). Ведение тестовой документации и поддержание её в актуальном состоянии. Подготовка тестовых данных и тестового окружения...Начальные знания верстки, HTML, CSS""- Знание языков программирования (JS, Python, Java или какого-либо другого, на чем Вы планируете автоматизировать..."
Инженер службы поддержки Linux,https://sergievposad.hh.ru/vacancy/31606959?query=python, СинеЛаб,"Обслуживание и сопровождение распределенной сети доставки файлов (около 1000 точек по стране). Cервера Linux (CentOS, Ubuntu) и FreeBSD. Cкрипты 'nix shell, perl, php. Английский письменный технический. Внимательность, аккуратность, ответственность. Желание развиваться в области веб разработки: JavaScript, Python."
Инженер внедрения по информационной безопасности Database Activity Monitoring (DAM),https://sergievposad.hh.ru/vacancy/31064187?query=python, Инфосистемы Джет,"Внедрение систем Database Activity Monitoring в инфраструктуру заказчиков. Развитие компетенции по новым продуктам и направлениям защиты информации. Оказание технических консультаций...Знание языка SQL. Знания и опыт применения применения Perl, Python, Bash. Опыт работы с Database Activity Monitoring (Imperva DAM, IBM..."
QA Lead / Ведущий инженер по тестированию,https://sergievposad.hh.ru/vacancy/30248867?query=python,ООО Сервионика,"Осуществление тестирования разрабатываемых систем. Создание и ведение ПМИ. Организация и проведение ПСИ. Анализ существующего процесса тестирования и его оптимизация, разработка...Опыт руководства командой. Опыт разработки: Python, PHP, ExtJS, JavaScript, Python/Django. Опыт использования Perl, bash и других скриптовых языков. "
Cloud/DevOps инженер,https://sergievposad.hh.ru/vacancy/26817514?query=python,ООО Актион Технологии,"Развитие внутреннего облака на базе KVM и Docker. Проработка, реализация и эксплуатация SaaS решений для внутренних нужд (PostgreSQL, MySQL, ElasticSearch...Умение автоматизировать свою деятельность на любом скриптовом языке (python/bash/ruby/perl). Знание инструментов\технологий автоматизации (Jira, Jenkins, Bitbucket, Nexus..."
SDET specialist (QA Automation),https://sergievposad.hh.ru/vacancy/31712753?query=python, Akvelon,"Разработка пилотных тест-планов для валидации новых продуктов и их обновлений. Осуществлять поддержку автоматизированных тест-кейсов и инструментов, чтобы обеспечить...Навыки программирования на двух из перечисленных языков (Python, Go, C, Java, Shell, TCL). Желателен практический опыт работы с сетями TCP..."
Инженер базы данных / Database engineer,https://sergievposad.hh.ru/vacancy/30158157?query=python,ООО Газпром-медиа Развлекательное телевидение (ГПМ РТВ),"Развивать и обслуживать системы сбора статистики и формирования отчётности (ClickHouse, PostgreSQL, MySQL + Python). Писать ETL-процедуры (импорт и обработка...Уметь конфигурировать эти СУБД и оптимизировать их работу. Python (не senior-уровня), Django будет плюсом. Pl/pgsql. Sh, обработка данных..."
Инженер по внедрению и техподдержке телекоммуникационного биллинга,https://sergievposad.hh.ru/vacancy/31511528?query=python, Латера,поддерживать работу уже внедренного биллинга. — участвовать в решении сложных задач совместно с разработчиками. — общаться с клиентами: консультировать по работе и...представление об устройстве компьютерных сетей. — умение установить и настроить приложение в консоли Linux. — знание основ языка запросов SQL. 
Software Development Engineer in Test (SDET),https://sergievposad.hh.ru/vacancy/29225039?query=python, Group-IB,Написание автоматических тестов. Развитие CI/CD системы. Оптимизация процессов тестирования. Написание чек-листов и тест-кейсов. Документирование найденных ошибок и...Знание языков программирования Python/Golang/C. Знание Windows API. Опыт тестирования Windows приложений. Опыт написания автотестов. Опыт работы с Gitlab...
Системный администратор инфраструктуры R&D\DevOps,https://sergievposad.hh.ru/vacancy/31758965?query=python,ООО БУЛАТ,"Выстроить CL процесс для локальной и удаленной RnD команд, поддерживать и развивать его функционирование. Настройка и поддержка RnD окружения(среда...Понимание принципов CL. Опыт администрирования Linux. Релевантный опыт автоматизации (bahs,python). Опыт работы с Git. Владение Ansible,Jenkins. "
Системный администратор,https://sergievposad.hh.ru/vacancy/29767916?query=python,ООО ЛУИС+,"Развитие и поддержка инфраструктуры интернет проектов (сайты, B2B портал). Мониторинг работы сервисов (Zabbix) и быстрое реагирование на сбои. Понимание настройки производительности MySQL. Умение писать код на Bash или Python. Навыки решения сложных инженерных задач. Самостоятельность и желание нести..."
Ведущий инженер (внедрение и сопровождение автоматизированных систем),https://sergievposad.hh.ru/vacancy/30982630?query=python, АРТИ,"Обследование ИТ-инфраструктуры на объектах внедрения автоматизированных систем, планирование и подготовка внедрения. Выполнение работ по проектированию и разработке программно-аппаратных...Опыт разработки ПО для Embedded Linux (встраиваемой ОС). Умение пользоваться Python. Хорошо знать и понимать особенности функционирования ""железа"" в широком..."
DWH Технический Руководитель Проектов,https://sergievposad.hh.ru/vacancy/31433932?query=python, Anchous Drive Recruitment,"Про компанию и людей: медийный кит с 25 летней историей, миллиардной выручкой, гигантскими планами на изменения и серьезными запросами на...Понимание основных задач и функций ETL. — SQL на базовом уровне. — Python желательно. — Стрессоустойчивый в коммуникациях со сложными людьми. — "
Аналитик,https://sergievposad.hh.ru/vacancy/31511937?query=python, Mediascope,"Проверка данных. Выгрузка данных по запросам. Контроль данных проекта, поиск проблемных мест в данных и пути решения проблем. Опыт работы с данными. Приветствуется уверенное знание SQL, Python. Знание Excel на продвинутом уровне. Опыт работы с несколькими проектами одновременно..."
Прикладной программист (Front-end программист),https://sergievposad.hh.ru/vacancy/31468360?query=python, AERODISK,"Разработка современного веб-интерфейса на стеке Reactjs, Python(Flask). Гибридная СХД. Scale-out СХД c поддержкой серверной виртуализации. Система мониторинга. Опыт разработки интерфейсов с применением технологии Ajax. Базовые знания python, ООП, HTML, CSS. Базовые Знание Linux. Способность выполнять многочисленные сложные..."
Разработчик Oracle (АС СП),https://sergievposad.hh.ru/vacancy/31862510?query=python, Сбербанк для экспертов,"Разработка и сопровождение ETL процессов. Разработка и сопровождение PL/SQL процедур. Оптимизация существующих процедур и процессов. Участие в проектах по...Глубокое знание SQL и PL/SQL, опыт промышленного программирования для СУБД Oracle не менее 3-х лет. Опыт оптимизации СУБД..."
Senior Sales Analyst,https://sergievposad.hh.ru/vacancy/30810674?query=python, ЦИАН ГРУПП,"Построить аналитическую системы продаж – система отчетности и дашбордов по основным показателям команды продаж для разных уровней принятия решений. Знания методов статистического анализа больших объемов данных. Python или R (не обязательно, но преимущество). Умения анализировать бизнес показатели / процессы и..."
Руководитель отдела технической поддержки и системного администрирования,https://sergievposad.hh.ru/vacancy/31917854?query=python, BUTIK.RU,"Обеспечение бесперебойной работы инфраструктуры и IT-сервисов. Мониторинг и выявление рисков в работе сети. Управление проблемами и управление изменениями (по...Опыт работы со СКУД и видеонаблюдением. Опыт работы с телефонией (3CX и asterisk). Будет плюсом: Знание powershell, python, bash. "
